ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,IDADE,COMPUTADOR,MORA_MÃE,MORA_PAI,REUNIÕES_ESCOLARES,USO_TEMPO_TELAS,AFAZERES_DOM,BIBLIOTECA
2017,4,41,4113700,2,3,1,246.335275,313.632282,A, ,C,B,A,A,A,A,B,B
2017,2,23,2304400,1,3,1,215.170392,232.526534,B,C,D,A,A,A,A,B,B,B
2017,4,41,4104808,2,3,1,296.813522,268.451942,A,A,C,E,A,A,A,C,A,A
2017,3,33,3300704,2,3,1,149.040672,162.137524,A,C,G,B,A,A,B,D,A,B
2017,2,26,2600500,2,3,1,197.472917,182.510613,B, ,E,B,A,A,A,A, ,B
2017,2,26,2602803,2,3,2,179.054985,232.321241,A,B,D,A,A,A,A,B,E,A
2017,5,50,5005707,2,3,1,280.067288,249.77077,B,A,C,A,A,B,A,B,A,A
2017,2,29,2921401,2,3,1,197.405703,204.57383,B,C,C,A,A,A,A,D,A,C
2017,3,35,3545704,2,3,1,285.314435,310.75964,A,C,D,B,A,A,A,B,B,A
2017,4,43,6310126,2,2,1,310.869492,277.399857,B,A,C,A,A,A,A,A,D,A
2017,3,33,3304557,1,3,1,178.4029,240.110228,A,B,E,C,A,B,B,B,A,A
2017,3,31,3136702,2,2,1,258.112363,274.66756,A,C,C,B,A,B,A,C,A,B
2017,3,31,3132909,2,3,1,268.47548,283.865705,B,A,C,B,A,A,A,B,B,A
2017,4,43,4305702,2,3,1,238.155068,265.641955,A,C,C,A,A,A,A,A,C,C
2017,5,52,5217302,2,3,1,166.399489,217.436499,A,C,D,B,A,A,C,C,D,B
2017,1,15,1500800,2,3,1,173.314036,211.043088,B,A,D,B,A,B,A,A,A,B
2017,3,35,3550308,1,2,1,172.778363,151.258027,B,A,C,A,A,A,A,A,A,C
2017,2,28,2804805,2,2,1,165.720077,178.55148,A,C,E,B,A,A,B,C,C,A
2017,4,43,4305108,2,2,1,271.392232,306.616118,A,C,D,B,B,A,C,D,C,C
2017,4,41,4118501,2,3,1,268.510739,279.388003,A,C,C,C,A,A,A,D,E,A
2017,2,21,2111300,1,3,2,124.757281,143.794445,A,B,G,A,A,A,C,D,D,B
2017,4,43,4321204,2,3,1,132.413054,159.150694,B,F,D,B,A,B,C,A,E,A
2017,3,31,3159209,2,3,1,249.328993,260.032042,A,A,D,B,A,B,A,D,C,C
2017,3,35,3511409,2,3,1,166.143525,205.88227,B,C,D,A,A,C,B,D,A,B
2017,3,35,3550308,1,2,1,239.128182,259.626152,A,A,D,C,A,A,A,D,E,C
2017,2,22,2207702,2,2,1,161.911693,185.547411,A,A,D,A,A,A,A,E,A,A
2017,3,35,3525300,2,3,1,262.736955,257.192768,A,C,C,B,A,B,A,B,A,B
2017,5,53,5300108,1,2,1,235.838943,239.566508,B,A,D,B,A,A,A,D,A,C
2017,3,35,3543402,2,3,1,227.655154,283.146929,A,A,C,B,A,A,A,B,E,B
2017,2,23,2308708,2,3,1,270.251139,284.211734,B,C,D,B,A,A,B,C,E,B
2017,1,11,1100205,1,3,1,175.03642,220.309812,A,A,C,A,A,B,B, ,A,C
2017,3,35,3505609,2,3,1,230.015684,271.153107,A,A,D,B,A,A,B,B,C,A
2017,3,35,3501608,2,3,1,228.600281,257.616767,B,C,C,D,A,A,A,B,B,A
2017,1,13,1300508,2,2,2,209.724083,216.049587,A,C,G,A,A,B,C,D,A,B
2017,2,29,2913002,2,3,2,244.512842,220.507895,A,C,D,B,A,B,C,B,A,A
2017,2,26,2611408,2,3,1,128.770777,142.375506,B,B,F,A, ,A,A, , ,C
2017,2,27,2708600,2,3,1,210.925559,248.688191,A,C,D,B,A,A,A,B,A,B
2017,1,15,1501303,2,3,1,124.268988,155.794025,B,B,D,A,A,A,A,B, ,C
2017,3,31,3111101,2,2,1,224.436931,227.864107,B,F,D,B,A,A,B,D,A,B
2017,3,35,3530201,2,2,2,279.078748,278.582874,B,C,C,B,A,A,B,A,A,A
2017,3,35,3518800,2,2,1,261.017491,277.899422,B,C,D,B,A,A,B,D,E,C
2017,1,13,1302603,1,3,1,230.428113,221.731769,B,A, ,E,A,A,A,E,E,C
2017,5,52,5209937,2,3,1,222.910679,262.887134,B,A,C,B,A,A,A,A,A,C
2017,5,50,5008305,2,3,1,220.194466,209.645556,B,C,E,A,A,C,A,A,E,A
2017,4,43,4322400,2,3,2,194.046881,186.075705,A,A,D,C,A,A,A,B,D,C
2017,5,52,5220108,2,3,1,269.957766,257.537791,B,F,C,A,A,A,C,B,A,C
2017,4,41,4105805,2,3,1,256.156053,222.939602,B,C,D,B,A,A,A,E,B,B
2017,2,28,2800308,1,2,1,214.671907,200.85727,A,C,D,A,A,C,B,D,A,A
2017,1,15,1500800,2,2,1,320.236465,288.466649,B,C,C,C, ,A,A,D,C,C
2017,3,31,3156700,2,3,1,226.626286,205.219051,A,A,C,A,A,B,A,E,E,C
2017,1,15,1505502,2,3,1,208.393468,162.591147,A,C,D,B,A,A,C,B,C,B
2017,3,33,3304201,2,3,1,218.195624,267.457674,A,A,C,B,A,A,B,D,A,C
2017,3,35,3518602,2,3,1,136.772206,152.891816,A,A,D,A,A,A,B,A,A,C
2017,5,51,5102678,2,2,1,104.863398,172.40366,A,C,C,B,A,A,A,A,C,A
2017,3,33,3304557,1,3,1,219.8752,198.083278,B,A,C,A,A,B,A,D,A,A
2017,3,31,3147402,2,2,1,186.15663,147.556054,A,F,E,B,A,B,C,D,A,C
2017,2,24,2409100,2,2,1,203.024289,211.074108,B,D,C,B,A,B,A,A,A,B
2017,3,31,3170107,2,2,1,220.28504,223.862999,A,F,C,B,C,B,A,C,B,B
2017,5,53,5300108,1,2,1,228.81206,255.634266,A,C,C,A,A,A,A,D,D,C
2017,4,42,4208906,2,3,1,320.311998,268.458705,B,F,D,B,A,A,A,B,B,B
2017,2,23,2303956,2,3,2,227.391808,242.066627,B,C,E,A,A,B,A,B,A,A
2017,4,42,4211900,2,2,1,222.195898,253.558314,A,F,D,B,A,A,B,D,C,A
2017,2,21,2111300,1,2,1,245.31715,243.795545,B,C,C,B,A,C,C,D,A,C
2017,3,33,3303500,2,3,1,222.935747,245.867809,A,C,C,B,A,A,A,B,A,B
2017,2,25,2507507,1,3,1,197.224666,209.584577,A,C,D,B,A,A,B,C,A,B
2017,3,35,3524402,2,3,1,227.479296,274.223719,B,C,D,C,A,B,B,B,A,B
